Tỉnh,"Phường, xã mới","Phường, xã trước sáp nhập"
Đắk Lắk,Ea Rốk,"Xã Ia Jlơi, Xã Cư Kbang, Xã Ea Rốk"
Đắk Lắk,Ea Súp,"Thị trấn Ea Súp, Xã Cư M’Lan, Xã Ea Lê"
Đắk Lắk,Ea Trang,Không sáp nhập
Đắk Lắk,Ea Tul,"Xã Ea Tar, Xã Cư Dliê Mnông, Xã Ea Tul"
Đắk Lắk,Ea Wer,"Xã Ea Huar, Xã Tân Hòa, Xã Ea Wer"
Đắk Lắk,Ea Wy,"Xã Cư A Mung, Xã Cư Mốt, Xã Ea Wy"
Đắk Lắk,Hòa Hiệp,"Phường Hòa Hiệp Trung, Phường Hòa Hiệp Nam, Phường Hòa Hiệp Bắc (phần còn lại sau khi sáp nhập vào phường Phú Yên)"
Đắk Lắk,Hòa Mỹ,"Xã Hòa Mỹ Đông, Xã Hòa Mỹ Tây"
Đắk Lắk,Hòa Phú,"Xã Hòa Phú (thành phố Buôn Ma Thuột), Xã Hòa Xuân, Xã Hòa Khánh"
Đắk Lắk,Hòa Sơn,"Xã Yang Reh, Xã Ea Trul, Xã Hòa Sơn"
Đắk Lắk,Hòa Thịnh,"Xã Hòa Đồng, Xã Hòa Thịnh"
Đắk Lắk,Hòa Xuân,"Xã Hòa Tâm, Xã Hòa Xuân Đông, Xã Hòa Xuân Nam"
Đắk Lắk,Ia Lốp,Không sáp nhập
Đắk Lắk,Ia Rvê,Không sáp nhập
Đắk Lắk,Krông Á,"Xã Cư San, Xã Krông Á"
Đắk Lắk,Krông Ana,"Thị trấn Buôn Trấp, Xã Bình Hòa, Xã Quảng Điền"
Đắk Lắk,Krông Bông,"Thị trấn Krông Kmar, Xã Hòa Lễ, Xã Khuê Ngọc Điền"
Đắk Lắk,Krông Búk,"Xã Cư Né, Xã Chứ Kbô"
Đắk Lắk,Krông Năng,"Thị trấn Krông Năng, Xã Phú Lộc, Xã Ea Hồ"
Đắk Lắk,Krông Nô,Không sáp nhập
Đắk Lắk,Krông Pắc,"Thị trấn Phước An, Xã Hòa An (huyện Krông Pắc), Xã Ea Yông, Xã Hòa Tiến"
Đắk Lắk,Liên Sơn Lắk,"Thị trấn Liên Sơn, Xã Yang Tao, Xã Bông Krang"
Đắk Lắk,M’Drắk,"Thị trấn M’Drắk, Xã Krông Jing, Xã Ea Lai"
Đắk Lắk,Nam Ka,"Xã Ea Rbin, Xã Nam Ka"
Đắk Lắk,Ô Loan,"Xã An Hiệp, Xã An Hòa Hải, Xã An Cư"
Đắk Lắk,Phú Hòa 1,"Thị trấn Phú Hòa, Xã Hòa Thắng (huyện Phú Hòa), Xã Hòa Định Đông, Xã Hòa Định Tây, Xã Hòa Hội, Xã Hòa An (huyện Phú Hòa)"
Đắk Lắk,Phú Hòa 2,"Xã Hòa Quang Nam, Xã Hòa Quang Bắc, Xã Hòa Trị"
Đắk Lắk,Phú Mỡ,"Xã Xuân Quang 1, Xã Phú Mỡ"
Đắk Lắk,Phú Xuân,"Xã Ea Púk, Xã Ea Dăh, Xã Phú Xuân"
Đắk Lắk,Phú Yên,"Phường Phú Đông, Phường Phú Lâm, Phường Phú Thạnh, Xã Hòa Thành (thị xã Đông Hòa), Phường Hòa Hiệp Bắc, Xã Hòa Bình 1 (phần còn lại sau khi sáp nhập vào xã Tây Hòa)"
Đắk Lắk,Pơng Drang,"Thị trấn Pơng Drang, Xã Ea Ngai, Xã Tân Lập"
Đắk Lắk,Quảng Phú,"Thị trấn Quảng Phú, Thị trấn Ea Pốk, Xã Cư Suê, Xã Quảng Tiến"
Đắk Lắk,Sông Cầu,"Phường Xuân Yên, Phường Xuân Phú, Xã Xuân Phương, Xã Xuân Thịnh"
Đắk Lắk,Sông Hinh,"Thị trấn Hai Riêng, Xã Ea Trol, Xã Sông Hinh, Xã Ea Bia (phần còn lại sau khi sáp nhập vào xã Đức Bình)"
Đắk Lắk,Sơn Hòa,"Thị trấn Củng Sơn, Xã Suối Bạc, Xã Sơn Hà, Xã Sơn Nguyên, Xã Sơn Phước"
Đắk Lắk,Sơn Thành,"Xã Hòa Phú (huyện Tây Hòa), Xã Sơn Thành Đông, Xã Sơn Thành Tây"
Đắk Lắk,Suối Trai,"Xã Ea Chà Rang, Xã Krông Pa, Xã Suối Trai"
Đắk Lắk,Tam Giang,"Xã Ea Tam, Xã Cư Klông, Xã Tam Giang"
